title,detail_url
Avengers: Endgame,/movies/?id=marvel2019.htm
The Intruder,/movies/?id=theintruder2019.htm
Long Shot,/movies/?id=flarsky.htm
Uglydolls,/movies/?id=uglydolls.htm
Captain Marvel ,/movies/?id=marvel2018a.htm
Breakthrough,/movies/?id=breakthrough.htm
The Curse of La Llorona ,/movies/?id=untitlednewline.htm
Shazam!,/movies/?id=untitledmovieiv.htm
Dumbo,/movies/?id=untitleddisneyfairytalela.htm
Little,/movies/?id=little19.htm
The Curse of La Llorona,/movies/default.htm?id=untitlednewline.htm
Tolkien,/movies/default.htm?id=tolkien.htm
Wonder Park,/movies/default.htm?id=amusementpark.htm
Red Joan,/movies/default.htm?id=redjoan.htm
Captain Marvel,/movies/default.htm?id=marvel2018a.htm
Eighth Grade,/movies/default.htm?id=eighthgrade.htm
Nous finirons ensemble,/movies/intl/?id=_fNOUSFINIRONSENSE01&country=FR&wk=2019W18&id=_fNOUSFINIRONSENSE01&p=.htm
After,/movies/default.htm?id=after2019.htm
The Queen's Corgi,/movies/intl/?id=_fTHEQUEENSCORGI01&country=FR&wk=2019W18&id=_fTHEQUEENSCORGI01&p=.htm
Pet Sematary,/movies/default.htm?id=petsematary2019.htm
Tanguy Is Back,/movies/intl/?id=_fTANGUYISBACK01&country=FR&wk=2019W18&id=_fTANGUYISBACK01&p=.htm
Farewell to the Night,/movies/intl/?id=_fFAREWELLTOTHENIG01&country=FR&wk=2019W18&id=_fFAREWELLTOTHENIG01&p=.htm
I Can Quit Whenever I Want,/movies/intl/?id=_fICANQUITWHENEVER01&country=ES&wk=2019W18&id=_fICANQUITWHENEVER01&p=.htm
Mia and the White Lion,/movies/default.htm?id=miaandthewhitelion.htm
La pequeña Suiza,/movies/intl/?id=_fLAPEQUEASUIZA01&country=ES&wk=2019W18&id=_fLAPEQUEASUIZA01&p=.htm
The White Crow,/movies/default.htm?id=thewhitecrow.htm
The Collini Case,/movies/intl/?id=_fTHECOLLINICASE01&country=DE&wk=2019W18&id=_fTHECOLLINICASE01&p=.htm
Serial (Bad) Weddings 2,/movies/intl/?id=_fSERIALBADWEDDI01&country=DE&wk=2019W18&id=_fSERIALBADWEDDI01&p=.htm
At Eternity's Gate,/movies/default.htm?id=ateternitysgate.htm
Fighting with My Family,/movies/default.htm?id=fightingwithmyfamily.htm
Capernaum,/movies/default.htm?id=capernaum.htm
Always Miss You,/movies/default.htm?id=alwaysmissyou.htm
Savage,/movies/default.htm?id=savage.htm
Wukong's Christmas Adventure,/movies/intl/?id=_fWUKONGSCHRISTMAS01&country=CH&wk=2019W18&id=_fWUKONGSCHRISTMAS01&p=.htm
Andhadhun,/movies/default.htm?id=andhadhun.htm
P Storm,/movies/default.htm?id=pstorm.htm
Mom,/movies/default.htm?id=mom2017.htm
Jinpa,/movies/intl/?id=_fJINPA01&country=CH&wk=2019W18&id=_fJINPA01&p=.htm
Detective Conan: The Fist of Blue Sapphire,/movies/intl/?id=_fDETECTIVECONANTH04&country=JP&wk=2019W18&id=_fDETECTIVECONANTH04&p=.htm
Pokemon Detective Pikachu,/movies/default.htm?id=detectivepikachu.htm
Kingdom,/movies/intl/?id=_fKINGDOM201&country=JP&wk=2019W18&id=_fKINGDOM201&p=.htm
Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi,/movies/intl/?id=_fCRAYONSHINCHANHO01&country=JP&wk=2019W18&id=_fCRAYONSHINCHANHO01&p=.htm
Fly Me to the Saitama,/movies/intl/?id=_fFLYMETOTHESAITAM01&country=JP&wk=2019W18&id=_fFLYMETOTHESAITAM01&p=.htm
Doraemon: Nobita's Chronicle of the Moon Exploration,/movies/intl/?id=_fDORAEMONNOBITASC01&country=JP&wk=2019W18&id=_fDORAEMONNOBITASC01&p=.htm
Sound! Euphonium Movie: The Finale of Oath,/movies/intl/?id=_fSOUNDEUPHONIUMM01&country=JP&wk=2019W18&id=_fSOUNDEUPHONIUMM01&p=.htm
What Is Love?,/movies/intl/?id=_fWHATISLOVE02&country=JP&wk=2019W18&id=_fWHATISLOVE02&p=.htm
Top End Wedding,/movies/intl/?id=_fTOPENDWEDDING01&country=AU&wk=2019W18&id=_fTOPENDWEDDING01&p=.htm
Peppa Pig: Festival of Fun,/movies/default.htm?id=peppapigfestivaloffun.htm
The Chaperone,/movies/default.htm?id=thechaperone2019.htm
De Pernas pro Ar 3,/movies/intl/?id=_fDEPERNASPROAR301&country=BR&wk=2019W18&id=_fDEPERNASPROAR301&p=.htm
The Professor and the Madman,/movies/default.htm?id=theprofessorandthemadman.htm
What They Had,/movies/default.htm?id=whattheyhad.htm
Napszállta,/movies/default.htm?id=sunset2019.htm
Us,/movies/default.htm?id=untitledjordanpeele.htm
No Manches Frida 2,/movies/default.htm?id=nomanchesfrida2.htm
Air Strike,/movies/intl/?id=_fAIRSTRIKE01&country=MX&wk=2019W18&id=_fAIRSTRIKE01&p=.htm
Spy Cat,/movies/intl/?id=_fSPYCAT01&country=MX&wk=2019W18&id=_fSPYCAT01&p=.htm
Mirai,/movies/default.htm?id=mirai.htm
Kandasamys: The Wedding,/movies/intl/?id=_fKANDASAMYSTHEWED01&country=ZA&wk=2019W18&id=_fKANDASAMYSTHEWED01&p=.htm
"Extremely Wicked, Shockingly Evil and Vile",/movies/intl/?id=_fEXTREMELYWICKED01&country=ZA&wk=2019W18&id=_fEXTREMELYWICKED01&p=.htm
